City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
431,Hamilton,US,52.93,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
433,Oistins,BB,76.23,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
436,Codrington,AU,79.79,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
437,Soyo,AO,79.57,overcast clouds,-6.1349,12.3689,Hotel Mpampa
440,Touros,BR,78.35,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
442,Liwale,TZ,71.94,overcast clouds,-9.7667,37.9333,Samoma lodge
443,Boa Vista,BR,75.18,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
449,Muros,ES,56.08,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
453,Marawi,PH,78.17,broken clouds,7.9986,124.2928,Derogongan Residence
456,Bilma,NE,62.98,few clouds,18.6853,12.9164,Expeditions Ténére voyages
457,Kakuda,JP,57.79,scattered clouds,37.9667,140.7833,Green Hotel Kakuda
458,Carutapera,BR,72.73,overcast clouds,-1.195,-46.02,Lidera
460,Benguela,AO,74.66,broken clouds,-12.5763,13.4055,Hotel Praia Morena
463,Makakilo City,US,75.56,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
467,Delijan,IR,55.35,clear sky,33.9905,50.6838,ایزوگام آسیاگستر
469,Rizhao,CN,50.83,light rain,35.4275,119.4553,Novotel Rizhao Suning
470,Zurrieq,MT,53.96,few clouds,35.8311,14.4742,Ta'Bertu Guest House
473,Mana,GF,74.95,overcast clouds,5.6592,-53.7767,LE SAMANA
479,Somerset,US,57.15,clear sky,40.5668,-74.5496,Hilton Garden Inn Bridgewater
489,Tabora,TZ,71.74,overcast clouds,-5.0167,32.8,Barcelona Lodge
490,La Orilla,MX,71.26,clear sky,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
491,Baixo Guandu,BR,70.92,clear sky,-19.5189,-41.0158,Hotel e Restaurante Barbosa
492,Concepcion Del Oro,MX,50.61,few clouds,24.6333,-101.4167,Hotel Hacienda San Javier
493,Nishihara,JP,78.08,broken clouds,26.1842,127.7558,Minshuku Agaihama
497,Aquiraz,BR,79.18,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
498,Flinders,AU,72.37,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
