,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
300,Xam Nua,LA,20.4197,104.0439,66.92,92,100,2.24,overcast clouds
301,Rosetta,EG,31.4044,30.4164,54.66,51,13,6.55,few clouds
302,La Tuque,CA,47.4334,-72.7824,20.62,96,100,5.5,overcast clouds
303,Prachuap Khiri Khan,TH,12.2167,99.75,93.7,40,79,10.87,broken clouds
304,Esso,RU,55.9333,158.7,19.89,92,39,2.75,scattered clouds
305,Manica,FR,49.0,-1.1667,46.83,98,50,5.59,scattered clouds
306,Pangnirtung,CA,66.1451,-65.7125,-26.48,85,48,7.4,scattered clouds
307,Lagoa,PT,39.05,-27.9833,55.58,55,94,5.26,overcast clouds
308,Rovaniemi,FI,66.5,25.7167,24.21,100,20,10.36,few clouds
309,Roma,US,43.2128,-75.4557,40.95,98,100,5.75,overcast clouds
310,Podgorica,ME,42.4411,19.2636,38.98,93,100,2.3,overcast clouds
311,Taitung,TW,22.7583,121.1444,79.07,73,75,9.22,broken clouds
312,Mahina,PF,-17.5065,-149.489,80.37,74,20,3.44,few clouds
313,Baiyin,CN,36.5583,104.2081,58.03,27,96,5.75,overcast clouds
314,Bushehr,IR,28.9684,50.8385,67.82,50,63,26.46,broken clouds
315,Hofn,IS,64.2539,-15.2082,34.07,84,97,30.65,snow
316,Charters Towers,AU,-20.1,146.2667,87.19,34,99,12.19,overcast clouds
317,Vallenar,CL,-28.5708,-70.7581,66.96,73,17,2.77,few clouds
318,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.97,86,18,7.16,few clouds
319,Ibra,OM,22.6906,58.5334,87.04,16,1,6.29,clear sky
320,Pisco,PE,-13.7,-76.2167,68.05,77,0,4.61,clear sky
321,Esperance,AU,-33.8667,121.9,74.44,56,92,14.81,overcast clouds
322,Lalawigan,PH,11.5892,125.4697,82.72,78,100,5.17,overcast clouds
323,Havelock,US,34.8791,-76.9013,60.93,89,100,1.61,overcast clouds
324,Maksatikha,RU,57.797,35.8825,20.95,85,42,3.74,scattered clouds
325,Sur,OM,22.5667,59.5289,89.08,32,4,2.24,clear sky
326,Plettenberg Bay,ZA,-34.0527,23.3716,64.11,70,12,4.23,few clouds
327,Port-De-Bouc,FR,43.4,4.9833,50.76,87,0,6.91,clear sky
328,Saint Anthony,US,45.0205,-93.218,44.15,75,0,10.36,clear sky
329,Osmena,PH,10.5208,119.9258,84.16,72,22,7.85,few clouds
330,Esik,KZ,43.3552,77.4525,35.02,90,95,2.82,overcast clouds
331,Daniel Flores,CR,9.3355,-83.6694,67.28,82,16,5.37,few clouds
332,Olafsvik,IS,64.8945,-23.7142,29.89,73,96,31.03,light snow
333,Naze,JP,28.3667,129.4833,67.46,80,30,3.15,scattered clouds
334,Mount Darwin,ZW,-16.7725,31.5838,71.1,89,94,2.77,light rain
335,Inongo,CD,-1.95,18.2667,73.72,92,75,3.44,broken clouds
336,Sertania,BR,-8.0736,-37.2644,69.62,93,96,2.48,overcast clouds
337,San Luis,AR,-33.295,-66.3356,69.84,38,0,8.23,clear sky
338,Saurimo,AO,-9.6608,20.3916,66.27,89,94,2.51,overcast clouds
339,Avera,US,33.194,-82.5271,59.56,80,100,11.56,overcast clouds
340,Riyadh,SA,24.6877,46.7219,59.14,26,0,18.75,clear sky
341,Kudahuvadhoo,MV,2.6708,72.8944,82.72,71,90,9.62,overcast clouds
342,Rosario,AR,-32.9468,-60.6393,70.07,78,0,5.75,clear sky
343,Tura,IN,25.5198,90.2201,92.21,14,0,6.82,clear sky
344,Tiznit,MA,29.5833,-9.5,48.56,95,90,8.41,overcast clouds
345,Baena,ES,37.6167,-4.3225,55.42,89,100,4.38,overcast clouds
